wallet,total_deposit,total_borrow,total_repay,total_redeem,total_liquidation,tx_count,unique_actions,repay_borrow_ratio,redeem_deposit_ratio,active_days,activity_span_seconds
0x00000000001accfa9cef68cf5371a23025b6d4b6,1987.6636548592714,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,0
0x000000000051d07a4fb3bd10121a343d85818da6,285.69448036149265,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,0
0x000000000096026fb41fc39f9875d164bd82e2dc,5152310624.158186,0.0,0.0,0.0,0.0,2,1,0.0,0.0,2,654405
0x0000000000e189dd664b9ab08a33c4839953852c,0.0,0.0,0.0,980364992428108.2,0.0,17,1,0.0,0.0,8,11173919
0x0000000002032370b971dabd36d72f3e5a7bf1ee,8.610608136875221e+16,160765330652910.88,70150.26379074076,7.343706807619118e+16,0.0,399,4,4.3635193922621147e-10,0.8528673806637938,104,11479614
0x000000000a38444e0a6e37d3b630d7e855a7cb13,5523036787107438.0,11631.431210321323,11640.280239622172,4617415427863043.0,0.0,25,4,1.0007607859377612,0.836028367336171,15,3393807
0x000000003853fcedcd0355fec98ca3192833f00b,76378517003.93056,0.0,0.0,0.0,0.0,8,1,0.0,0.0,4,681627
0x000000003ce0cf2c037493b1dc087204bd7f713e,1.3847520380608786e+17,35606379453495.016,22565985885976.848,1.147144862402013e+17,0.0,492,4,0.6337624389879336,0.8284117523368327,108,10670530
0x000000007858e6f2668e1e06111cfa24403a5466,142160666481.45407,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1.7666525037857388,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,799991.6941682949,597501.9617796154,597568.679828446,801072.9370227363,0.0,69,4,1.000111661639791,1.001351567600418,3,2648695
0x00000029ff545c86524ade7caf132527707948c4,5.5179088676850554e+17,5.5179088676701037e+17,4364193497995.308,67492255.96443588,0.0,47,4,7.909143848977804e-06,1.223149159996024e-10,2,181830
0x00000087c4cebffb95746d1935de7fbcab092f40,4782616623518.774,1297164.2793600843,59532027748395.14,3853870827143.577,0.0,250,4,45893977.11272424,0.8058080190228839,19,8683829
0x000000e28faa823d5b53ff6c2922c28335840375,7.314516888903841e+17,7.403191504378395e+16,7.749159633212198e+16,7.229652903897777e+17,0.0,297,4,1.0467322949337716,0.9883978687458083,61,11854599
0x000006eee6e39015cb523aebdd4d0b1855aba682,4928147073565198.0,24758.96632948498,23151.274780815504,50843048918.493225,0.0,28,5,0.9350662896312069,1.0316869232904517e-05,12,3567838
0x00000a9c78912badb92d73b6ed26456e11def5eb,1.6927543127773312,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,0
0x00001bc47f0973f794f79c16121cee879e272d6a,0.0,0.0,0.0,53501.44012314356,0.0,4,1,0.0,0.0,4,4061171
0x00002b503a75998c97508916a74fdb41934fa030,1.0494149209845289e+18,2401891.8174879523,1924330.2671071426,1.197865768196511e+18,0.0,147,4,0.8011727477050681,1.141460583648563,35,10827781
0x0000897253cc85f7547317eb2080b36b3255687a,466185762066389.7,0.0,0.0,465532400028765.06,0.0,2,2,0.0,0.9985984942252879,2,303662
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1.116218296466259,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,0
